loggingTime(txt),loggingSample(N),accelerometerTimestamp_sinceReboot(s),accelerometerAccelerationX(G),accelerometerAccelerationY(G),accelerometerAccelerationZ(G)
2018-09-06 10:04:53.086 -0400,143,440520.2637,-1.005813599,-0.002380371094,0.02462768555
2018-09-06 10:04:53.101 -0400,144,440520.2805,-1.005889893,-0.001876831055,0.03350830078
2018-09-06 10:04:53.120 -0400,145,440520.2974,-1.006896973,-0.002365112305,0.03645324707
2018-09-06 10:04:53.134 -0400,146,440520.3143,-1.005447388,-0.002853393555,0.04040527344
2018-09-06 10:04:53.153 -0400,147,440520.3311,-1.003967285,-0.003845214844,0.03894042969
2018-09-06 10:04:53.168 -0400,148,440520.348,-1.003982544,-0.009246826172,0.0433807373
2018-09-06 10:04:53.187 -0400,149,440520.3649,-1.005004883,-0.009246826172,0.04731750488
2018-09-06 10:04:53.201 -0400,150,440520.3817,-1.005020142,-0.01170349121,0.04978942871
2018-09-06 10:04:53.220 -0400,151,440520.3986,-1.005508423,-0.007766723633,0.04879760742
2018-09-06 10:04:53.235 -0400,152,440520.4155,-1.002975464,-0.007278442383,0.03944396973
2018-09-06 10:04:53.254 -0400,153,440520.4324,-1.005371094,-0.008270263672,0.03202819824
2018-09-06 10:04:53.268 -0400,154,440520.4492,-1.00239563,-0.01121520996,0.03009033203
2018-09-06 10:04:53.288 -0400,155,440520.4661,-1.006378174,-0.01072692871,0.03547668457
2018-09-06 10:04:53.303 -0400,156,440520.483,-1.003952026,-0.01022338867,0.03944396973
2018-09-06 10:04:53.346 -0400,157,440520.4999,-1.002944946,-0.01022338867,0.03747558594
2018-09-06 10:04:53.348 -0400,158,440520.5167,-1.005386353,-0.006790161133,0.03302001953
2018-09-06 10:04:53.357 -0400,159,440520.5336,-1.003875732,-0.006301879883,0.0295715332
2018-09-06 10:04:53.370 -0400,160,440520.5505,-1.006896973,-0.004821777344,0.03596496582
2018-09-06 10:04:53.390 -0400,161,440520.5673,-1.00541687,-0.006301879883,0.03646850586
2018-09-06 10:04:53.404 -0400,162,440520.5842,-1.004379272,-0.01268005371,0.03352355957
2018-09-06 10:04:53.423 -0400,163,440520.6011,-1.005340576,-0.005325317383,0.02709960938
2018-09-06 10:04:53.437 -0400,164,440520.6179,-1.006835938,-0.0009002685547,0.02757263184
2018-09-06 10:04:53.457 -0400,165,440520.6348,-1.005905151,0.002517700195,0.03300476074
2018-09-06 10:04:53.471 -0400,166,440520.6517,-1.006393433,0.003509521484,0.03201293945
2018-09-06 10:04:53.490 -0400,167,440520.6685,-1.001983643,0.004486083984,0.03550720215
2018-09-06 10:04:53.505 -0400,168,440520.6854,-1.005935669,0.006454467773,0.03596496582
2018-09-06 10:04:53.524 -0400,169,440520.7023,-1.005462646,0.003997802734,0.03843688965
2018-09-06 10:04:53.538 -0400,170,440520.7191,-1.005447388,0.005966186523,0.03744506836
2018-09-06 10:04:53.557 -0400,171,440520.736,-1.006973267,0.005966186523,0.04286193848
2018-09-06 10:04:53.572 -0400,172,440520.7529,-1.004043579,0.003997802734,0.04585266113
2018-09-06 10:04:53.592 -0400,173,440520.7698,-1.003555298,0.002532958984,0.04733276367
2018-09-06 10:04:53.606 -0400,174,440520.7866,-1.007492065,0.007934570313,0.04434204102
2018-09-06 10:04:53.625 -0400,175,440520.8035,-1.005523682,0.01039123535,0.04385375977
2018-09-06 10:04:53.640 -0400,176,440520.8204,-1.005554199,0.01481628418,0.04582214355
2018-09-06 10:04:53.659 -0400,177,440520.8372,-1.006561279,0.01776123047,0.04878234863
2018-09-06 10:04:53.673 -0400,178,440520.8541,-1.005615234,0.0221862793,0.05075073242
2018-09-06 10:04:53.692 -0400,179,440520.871,-1.004623413,0.02021789551,0.05027770996
2018-09-06 10:04:53.708 -0400,180,440520.8878,-1.005584717,0.01481628418,0.04928588867
2018-09-06 10:04:53.727 -0400,181,440520.9047,-1.004547119,0.009399414063,0.04534912109
2018-09-06 10:04:53.741 -0400,182,440520.9216,-1.003982544,0.008911132813,0.0379486084
2018-09-06 10:04:53.760 -0400,183,440520.9384,-1.004455566,0.006942749023,0.03598022461
2018-09-06 10:04:53.775 -0400,184,440520.9553,-1.005935669,0.006942749023,0.03547668457
2018-09-06 10:04:53.794 -0400,185,440520.9722,-1.006408691,0.009887695313,0.03300476074
2018-09-06 10:04:53.816 -0400,186,440520.989,-1.004928589,0.0108795166,0.03202819824
2018-09-06 10:04:53.843 -0400,187,440521.0059,-1.005401611,0.008911132813,0.0305480957
2018-09-06 10:04:53.845 -0400,188,440521.0228,-1.003875732,0.0128326416,0.02365112305
2018-09-06 10:04:53.863 -0400,189,440521.0397,-1.003417969,0.01234436035,0.02661132813
2018-09-06 10:04:53.876 -0400,190,440521.0565,-1.006881714,0.0128326416,0.02954101563
2018-09-06 10:04:53.895 -0400,191,440521.0734,-1.005371094,0.0108795166,0.02560424805
2018-09-06 10:04:53.910 -0400,192,440521.0903,-1.00340271,0.01382446289,0.02513122559
2018-09-06 10:04:53.929 -0400,193,440521.1071,-1.006362915,0.0128326416,0.0260925293
2018-09-06 10:04:53.943 -0400,194,440521.124,-1.006332397,0.008422851563,0.02363586426
2018-09-06 10:04:53.963 -0400,195,440521.1409,-1.004882813,0.01037597656,0.02659606934
2018-09-06 10:04:53.977 -0400,196,440521.1577,-1.007888794,0.009887695313,0.03298950195
2018-09-06 10:04:53.997 -0400,197,440521.1746,-1.005477905,0.01628112793,0.03744506836
2018-09-06 10:04:54.011 -0400,198,440521.1915,-1.006484985,0.01382446289,0.03941345215
2018-09-06 10:04:54.030 -0400,199,440521.2083,-1.005447388,0.008911132813,0.03498840332
2018-09-06 10:04:54.045 -0400,200,440521.2252,-1.005401611,0.005966186523,0.0305480957
2018-09-06 10:04:54.064 -0400,201,440521.2421,-1.005340576,0.004486083984,0.0241394043
2018-09-06 10:04:54.078 -0400,202,440521.259,-1.006332397,0.006454467773,0.02412414551
2018-09-06 10:04:54.098 -0400,203,440521.2758,-1.003875732,0.005966186523,0.02464294434
2018-09-06 10:04:54.116 -0400,204,440521.2927,-1.004882813,0.003021240234,0.02857971191
2018-09-06 10:04:54.132 -0400,205,440521.3096,-1.003890991,0.004486083984,0.02857971191
2018-09-06 10:04:54.146 -0400,206,440521.3264,-1.004867554,0.003997802734,0.02709960938
2018-09-06 10:04:54.165 -0400,207,440521.3433,-1.005325317,0.008911132813,0.02018737793
2018-09-06 10:04:54.180 -0400,208,440521.3602,-1.004821777,0.0118560791,0.01870727539
2018-09-06 10:04:54.199 -0400,209,440521.377,-1.004348755,0.01332092285,0.02069091797
2018-09-06 10:04:54.214 -0400,210,440521.3939,-1.005355835,0.01037597656,0.02363586426
2018-09-06 10:04:54.232 -0400,211,440521.4108,-1.006362915,0.0128326416,0.02510070801
2018-09-06 10:04:54.247 -0400,212,440521.4276,-1.003845215,0.01037597656,0.01969909668
2018-09-06 10:04:54.266 -0400,213,440521.4445,-1.00630188,0.009399414063,0.01968383789
2018-09-06 10:04:54.280 -0400,214,440521.4614,-1.005813599,0.006942749023,0.02018737793
2018-09-06 10:04:54.302 -0400,215,440521.4782,-1.004394531,0.006942749023,0.02857971191
2018-09-06 10:04:54.318 -0400,216,440521.4951,-1.002944946,0.003509521484,0.03303527832
2018-09-06 10:04:54.347 -0400,217,440521.512,-1.005432129,0.003509521484,0.03547668457
2018-09-06 10:04:54.349 -0400,218,440521.5289,-1.005386353,0.003509521484,0.02955627441
2018-09-06 10:04:54.368 -0400,219,440521.5457,-1.004882813,0.004974365234,0.02906799316
2018-09-06 10:04:54.382 -0400,220,440521.5626,-1.005401611,0.006454467773,0.03004455566
2018-09-06 10:04:54.402 -0400,221,440521.5795,-1.004394531,0.006942749023,0.02809143066
2018-09-06 10:04:54.416 -0400,222,440521.5963,-1.003326416,0.003509521484,0.01971435547
2018-09-06 10:04:54.435 -0400,223,440521.6132,-1.0050354,-0.004348754883,-0.008895874023
2018-09-06 10:04:54.449 -0400,224,440521.6301,-1.004379272,-0.001403808594,-0.02911376953
2018-09-06 10:04:54.469 -0400,225,440521.6469,-1.005706787,0.01036071777,-0.05133056641
2018-09-06 10:04:54.483 -0400,226,440521.6638,-1.006088257,0.02705383301,-0.07008361816
2018-09-06 10:04:54.502 -0400,227,440521.6807,-1.004425049,0.02114868164,-0.09127807617
2018-09-06 10:04:54.517 -0400,228,440521.6975,-1.003097534,-0.0009460449219,-0.125289917
2018-09-06 10:04:54.536 -0400,229,440521.7144,-1.000228882,-0.01174926758,-0.110458374
2018-09-06 10:04:54.550 -0400,230,440521.7313,-0.9997253418,-0.06530761719,-0.1533355713
2018-09-06 10:04:54.570 -0400,231,440521.7482,-0.995300293,-0.0662689209,-0.09213256836
